UUID,RfcEmisor,NombreEmisor,RfcReceptor,NombreReceptor,FechaEmision,FechaCertificacionSAT,Total,SubTotal,EfectoComprobante,TipoComprobante,MetodoPago,FormaPago,Moneda,TipoCambio,Estado
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,AAA010101AAA,EMPRESA DEMO SA DE CV,XXX111111XXX,CLIENTE EJEMPLO SA,2025-01-05T10:30:00,2025-01-05T10:31:00,11600.00,10000.00,I,I,PUE,03,MXN,1,Vigente
B2C3D4E5-F6A7-8901-BCDE-F12345678901,AAA010101AAA,EMPRESA DEMO SA DE CV,YYY222222YYY,PROVEEDOR BETA SA,2025-01-08T14:15:00,2025-01-08T14:16:00,23200.00,20000.00,I,I,PUE,03,MXN,1,Vigente
C3D4E5F6-A7B8-9012-CDEF-123456789012,BBB020202BBB,SERVICIOS INTEGRALES SC,AAA010101AAA,EMPRESA DEMO SA DE CV,2025-01-10T09:00:00,2025-01-10T09:01:00,5800.00,5000.00,I,I,PUE,01,MXN,1,Vigente
D4E5F6A7-B8C9-0123-DEF0-234567890123,AAA010101AAA,EMPRESA DEMO SA DE CV,ZZZ333333ZZZ,DISTRIBUIDOR GAMMA SA,2025-01-12T16:45:00,2025-01-12T16:46:00,46400.00,40000.00,I,I,PPD,99,MXN,1,Vigente
E5F6A7B8-C9D0-1234-EF01-345678901234,CCC030303CCC,CONSULTORIA FISCAL SA,AAA010101AAA,EMPRESA DEMO SA DE CV,2025-01-15T11:30:00,2025-01-15T11:31:00,17400.00,15000.00,I,I,PUE,03,MXN,1,Vigente
F6A7B8C9-D0E1-2345-F012-456789012345,AAA010101AAA,EMPRESA DEMO SA DE CV,XXX111111XXX,CLIENTE EJEMPLO SA,2025-01-18T08:20:00,2025-01-18T08:21:00,34800.00,30000.00,I,I,PPD,99,MXN,1,Vigente
A7B8C9D0-E1F2-3456-0123-567890123456,AAA010101AAA,EMPRESA DEMO SA DE CV,YYY222222YYY,PROVEEDOR BETA SA,2025-01-20T13:10:00,2025-01-20T13:11:00,6960.00,6000.00,I,E,PUE,03,MXN,1,Vigente
B8C9D0E1-F2A3-4567-1234-678901234567,XXX111111XXX,CLIENTE EJEMPLO SA,AAA010101AAA,EMPRESA DEMO SA DE CV,2025-01-22T15:00:00,2025-01-22T15:01:00,20000.00,20000.00,I,P,PPD,03,MXN,1,Vigente
C9D0E1F2-A3B4-5678-2345-789012345678,AAA010101AAA,EMPRESA DEMO SA DE CV,ZZZ333333ZZZ,DISTRIBUIDOR GAMMA SA,2025-01-25T10:45:00,2025-01-25T10:46:00,58000.00,50000.00,I,I,PUE,03,MXN,1,Vigente
D0E1F2A3-B4C5-6789-3456-890123456789,DDD040404DDD,TRANSPORTES DELTA SA,AAA010101AAA,EMPRESA DEMO SA DE CV,2025-01-28T17:30:00,2025-01-28T17:31:00,8700.00,7500.00,I,I,PUE,03,MXN,1,Vigente
E1F2A3B4-C5D6-7890-4567-901234567890,AAA010101AAA,EMPRESA DEMO SA DE CV,XXX111111XXX,CLIENTE EJEMPLO SA,2025-01-30T12:00:00,2025-01-30T12:01:00,92800.00,80000.00,I,I,PPD,99,MXN,1,Vigente
F2A3B4C5-D6E7-8901-5678-012345678901,YYY222222YYY,PROVEEDOR BETA SA,AAA010101AAA,EMPRESA DEMO SA DE CV,2025-01-31T09:15:00,2025-01-31T09:16:00,15000.00,15000.00,I,P,PPD,03,MXN,1,Vigente
